Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order Date
Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,503.96,4,0,125.99,4/18/2023 6:58
Standard Class,Consumer,United States,Midland,Michigan,48640,Central,Office Supplies,Binders,12.72,3,0,6.36,1/10/2023 11:25
Standard Class,Consumer,United States,Midland,Michigan,48640,Central,Office Supplies,Binders,11.52,4,0,5.6448,1/25/2024 19:44
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Technology,Accessories,316,4,0,31.6,9/9/2025 20:27
Second Class,Home Office,United States,Roswell,Georgia,30076,South,Furniture,Chairs,723.92,4,0,188.2192,3/5/2024 6:57
Second Class,Home Office,United States,Roswell,Georgia,30076,South,Office Supplies,Paper,106.32,3,0,49.9704,5/5/2025 13:00
First Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Bookcases,141.372,2,0.3,-14.1372,2/4/2025 17:36
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Paper,27.216,3,0.2,9.8658,9/29/2024 0:05
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,390.75,5,0,171.93,7/23/2025 6:31
First Class,Home Office,United States,Peoria,Arizona,85345,West,Furniture,Chairs,280.792,1,0.2,35.099,3/23/2025 3:07
First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Storage,68.448,4,0.2,7.7004,8/29/2023 21:28
First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Art,88.04,5,0.2,6.603,5/19/2025 9:20
First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Art,15.872,1,0.2,1.984,4/27/2024 18:48
First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Storage,215.592,3,0.2,-48.5082,3/6/2024 16:46
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Labels,14.62,2,0,6.8714,11/6/2024 18:14
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Appliances,416.32,2,0,112.4064,11/27/2024 19:44
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Binders,43,5,0,20.21,1/2/2023 5:59
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Furniture,Chairs,182.94,3,0,27.441,2/17/2023 9:39
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Binders,60.83,7,0,30.415,9/30/2024 0:45
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Technology,Accessories,389.97,3,0,132.5898,4/6/2023 13:01
First Class,Consumer,United States,Richmond,Virginia,23223,South,Office Supplies,Appliances,194.32,4,0,56.3528,11/19/2025 21:24
Standard Class,Corporate,United States,Seattle,Washington,98115,West,Technology,Accessories,265.93,7,0,63.8232,3/20/2024 0:38
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,94.74,3,0,44.5278,4/27/2023 12:58
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,60.64,4,0,27.8944,9/7/2023 1:01
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,76.3,5,0,38.15,6/12/2025 23:53
Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,364.8,12,0,167.808,11/28/2025 8:18
Second Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Binders,79.872,3,0.2,29.952,11/15/2025 23:41
Second Class,Corporate,United States,New York City,New York,10035,East,Furniture,Bookcases,46.384,1,0.2,1.1596,6/28/2023 12:59
Second Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,12.96,2,0,6.2208,5/13/2023 18:00
First Class,Home Office,United States,Fort Collins,Colorado,80525,West,Office Supplies,Envelopes,14.352,3,0.2,5.2026,11/4/2024 0:16
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,547.136,4,0.2,-68.392,11/14/2024 15:29
Second Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Storage,41.96,2,0,2.9372,10/27/2023 2:52
Second Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Paper,41.7,5,0,20.85,5/22/2024 21:58
Standard Class,Consumer,United States,Lafayette,Indiana,47905,Central,Office Supplies,Paper,277.4,5,0,133.152,7/11/2025 7:07
Standard Class,Consumer,United States,Lafayette,Indiana,47905,Central,Office Supplies,Paper,5.78,1,0,2.8322,12/27/2023 4:03
Standard Class,Consumer,United States,Clarksville,Tennessee,37042,South,Office Supplies,Appliances,69.216,6,0.2,11.2476,7/9/2023 0:38
Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Envelopes,10.86,3,0,5.1042,6/23/2025 16:34
Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Appliances,426.79,7,0,123.7691,2/7/2025 17:54
Same Day,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,25.92,4,0,12.4416,10/1/2024 14:34
Same Day,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,45.92,4,0,22.5008,7/24/2025 11:08
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Art,10.72,2,0.2,1.742,7/31/2023 7:48
Standard Class,Consumer,United States,Warner Robins,Georgia,31088,South,Office Supplies,Art,41.86,7,0,10.465,10/31/2025 6:52
First Class,Home Office,United States,Franklin,Massachusetts,2038,East,Furniture,Furnishings,63.2,5,0,23.384,11/25/2025 6:21
First Class,Home Office,United States,Franklin,Massachusetts,2038,East,Technology,Accessories,113.97,3,0,27.3528,10/15/2025 18:46
Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,123.552,3,0.2,-29.3436,11/11/2023 15:29
Standard Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Appliances,490.32,9,0,137.2896,4/24/2023 8:03
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Paper,70.08,5,0.2,24.528,9/1/2025 23:58
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,1.272,2,0.8,-2.1624,1/12/2025 11:32
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Tables,557.585,5,0.3,0,1/19/2023 8:58
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Binders,9.024,6,0.2,3.1584,9/18/2023 17:50
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Binders,69.456,2,0.2,22.5732,6/13/2023 1:34
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Paper,10.86,2,0,5.3214,10/9/2024 19:46
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,79.47,3,0,22.2516,10/24/2023 2:23
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Art,10.08,6,0,5.04,9/13/2025 7:46
First Class,Corporate,United States,San Francisco,California,94122,West,Furniture,Bookcases,1552.831,7,0.15,200.9546,9/13/2023 18:39
First Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Binders,137.24,5,0.2,46.3185,10/25/2023 21:36
First Class,Corporate,United States,San Francisco,California,94122,West,Technology,Accessories,36.51,1,0,15.6993,1/18/2025 13:42
First Class,Corporate,United States,San Francisco,California,94122,West,Technology,Machines,239.976,3,0.2,80.9919,4/17/2024 18:25
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1579.746,7,0.4,-447.5947,10/3/2025 2:56
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1071.576,4,0.4,-553.6476,11/25/2024 11:56
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,613.908,3,0.4,-122.7816,11/3/2023 18:03
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Paper,34.86,7,0,16.3842,11/17/2025 3:51
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Paper,155.04,4,0,75.9696,4/10/2023 17:37
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,13.71,5,0.7,-10.054,11/23/2023 21:56
Standard Class,Home Office,United States,Waynesboro,Virginia,22980,South,Furniture,Furnishings,127.88,2,0,40.9216,4/7/2023 18:13
Standard Class,Home Office,United States,Waynesboro,Virginia,22980,South,Office Supplies,Appliances,160.32,2,0,44.8896,3/31/2025 0:17
Standard Class,Home Office,United States,Waynesboro,Virginia,22980,South,Office Supplies,Binders,46,4,0,20.7,7/14/2024 8:45
Second Class,Consumer,United States,Sacramento,California,95823,West,Furniture,Chairs,120.712,1,0.2,-18.1068,4/17/2023 16:18
First Class,Consumer,United States,Clinton,Maryland,20735,East,Office Supplies,Paper,23.12,4,0,11.3288,9/24/2024 14:40
Standard Class,Corporate,United States,Fairfield,Ohio,45014,East,Furniture,Furnishings,532.704,6,0.2,-26.6352,1/27/2023 18:37
Standard Class,Corporate,United States,Fairfield,Ohio,45014,East,Office Supplies,Art,4.912,2,0.2,0.307,2/8/2025 1:13
Second Class,Corporate,United States,Warwick,Rhode Island,2886,East,Technology,Accessories,252,4,0,93.24,7/24/2023 12:27
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,60.288,8,0.6,-27.1296,3/22/2024 22:10
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Office Supplies,Fasteners,2.632,1,0.2,0.8225,9/2/2023 10:29
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Office Supplies,Paper,23.688,9,0.2,7.6986,3/17/2023 8:43
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Chairs,253.372,2,0.3,-14.4784,3/20/2024 7:03
Standard Class,Consumer,United States,Smyrna,Georgia,30080,South,Office Supplies,Fasteners,5.67,3,0,0.1134,5/18/2024 14:46
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,76.776,4,0.7,-58.8616,7/20/2025 9:55
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Supplies,9.184,2,0.2,1.148,3/22/2024 13:46
Standard Class,Home Office,United States,Thousand Oaks,California,91360,West,Office Supplies,Paper,32.75,5,0,15.065,11/1/2025 19:24
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Fasteners,7.216,2,0.2,1.7138,10/29/2025 13:17
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Paper,49.568,2,0.2,15.49,1/6/2023 22:03
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Furniture,Furnishings,54.712,7,0.2,11.6263,3/20/2025 15:37
First Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Appliances,176.04,4,0,45.7704,10/15/2024 21:14
First Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Art,16.02,9,0,4.4856,3/31/2023 10:06
First Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Binders,185.92,4,0.2,62.748,4/6/2023 4:50
First Class,Consumer,United States,Fresno,California,93727,West,Technology,Phones,211.168,4,0.2,15.8376,10/15/2024 18:41
First Class,Consumer,United States,Fresno,California,93727,West,Technology,Copiers,479.984,2,0.2,59.998,8/14/2023 5:03
First Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Fasteners,7.86,2,0,3.6156,3/11/2025 13:11
First Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Binders,24.448,2,0.2,8.8624,1/17/2023 21:54
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,6.48,1,0,3.1104,12/21/2023 21:23
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,41.86,7,0,20.5114,3/24/2024 22:28
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,1619.91,9,0,97.1946,5/15/2025 11:08
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Furnishings,113.92,4,0,42.1504,4/25/2025 20:02
Standard Class,Consumer,United States,Malden,Massachusetts,2148,East,Office Supplies,Art,39.68,2,0,10.3168,9/19/2024 9:01
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Accessories,37.6,2,0,2.256,10/19/2023 9:08
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Accessories,59.9,2,0,23.96,9/25/2024 15:33
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,37,5,0,16.65,4/8/2023 15:20
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Labels,5.76,2,0,2.8224,4/9/2025 22:48
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,16.68,6,0,4.3368,4/4/2023 20:07
Standard Class,Corporate,United States,Florence,South Carolina,29501,South,Office Supplies,Storage,628.81,7,0,12.5762,5/15/2025 3:56
Standard Class,Corporate,United States,Florence,South Carolina,29501,South,Office Supplies,Storage,56.45,5,0,14.677,8/24/2025 22:18
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,94.2,6,0,23.55,4/16/2023 1:06
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Envelopes,28.4,5,0,13.348,9/3/2023 3:58
Standard Class,Corporate,United States,Huntsville,Texas,77340,Central,Furniture,Bookcases,956.6648,7,0.32,-225.0976,3/19/2024 11:38
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Accessories,1115.91,9,0,200.8638,11/16/2025 18:42
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,128.744,7,0.2,-28.9674,7/19/2025 10:08
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,79.92,10,0.2,26.973,3/5/2024 14:29
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,24.2,5,0,7.986,1/27/2025 18:54
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Phones,359.976,3,0.2,130.4913,8/16/2025 21:41
First Class,Home Office,United States,San Francisco,California,94122,West,Furniture,Furnishings,211.84,8,0,76.2624,5/11/2023 18:31
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Fasteners,5.68,2,0.2,1.917,11/5/2023 7:41
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Binders,7.52,5,0.2,2.632,6/21/2024 21:25
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,11.96,2,0,5.8604,11/17/2024 19:45
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Tables,629.064,3,0.2,31.4532,11/23/2025 15:11
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,754.45,5,0,60.356,6/27/2023 19:43
Standard Class,Home Office,United States,Holyoke,Massachusetts,1040,East,Furniture,Bookcases,301.96,2,0,60.392,10/5/2025 1:37
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Technology,Accessories,595,5,0,95.2,6/14/2024 10:12
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Binders,79.872,3,0.2,29.952,6/24/2024 4:09
Standard Class,Corporate,United States,Sparks,Nevada,89431,West,Technology,Machines,2396.4,10,0.2,179.73,8/7/2024 2:08
Standard Class,Corporate,United States,Coachella,California,92236,West,Office Supplies,Storage,63.56,2,0,3.178,2/27/2024 12:04
Standard Class,Corporate,United States,Coachella,California,92236,West,Technology,Accessories,99.99,1,0,43.9956,12/31/2024 16:02
Standard Class,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,1/12/2025 2:07
Standard Class,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,Paper,9.664,2,0.2,3.2616,3/11/2023 20:24
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Technology,Accessories,158.928,7,0.2,41.7186,5/12/2025 8:09
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Binders,13.023,1,0.7,-10.4184,10/31/2025 8:43
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Furniture,Tables,273.06,2,0.4,-104.673,3/6/2023 12:15
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Fasteners,39.312,13,0.2,12.7764,2/9/2025 12:17
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,1.344,4,0.8,-2.1504,8/2/2024 0:58
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,8.272,4,0.8,-13.6488,5/26/2025 6:23
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Furnishings,12.544,7,0.6,-9.0944,3/24/2025 7:23
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Labels,58.48,8,0,27.4856,4/6/2025 5:10
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Furniture,Furnishings,7.4,2,0,3.034,2/24/2024 3:03
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Chairs,366.786,7,0.1,65.2064,4/29/2023 2:30
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Phones,54.368,4,0.2,4.0776,6/5/2025 17:58
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Envelopes,33.96,2,0,16.98,5/21/2025 3:17
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Appliances,826.11,3,0,322.1829,2/15/2024 5:28
Standard Class,Consumer,United States,Farmington,New Mexico,87401,West,Furniture,Furnishings,545.85,9,0,114.6285,10/12/2025 10:08
Second Class,Consumer,United States,Louisville,Colorado,80027,West,Furniture,Tables,145.98,2,0.5,-99.2664,2/5/2025 14:20
Second Class,Consumer,United States,Louisville,Colorado,80027,West,Office Supplies,Paper,35.808,4,0.2,12.5328,6/7/2023 18:26
Standard Class,Consumer,United States,Tampa,Florida,33614,South,Furniture,Furnishings,7.904,2,0.2,2.1736,8/10/2025 20:43
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Phones,345,5,0,86.25,4/2/2023 3:36
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Furniture,Tables,174.286,2,0.3,-19.9184,12/10/2025 0:54
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,Appliances,662.84,4,0,172.3384,9/12/2023 23:49
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Accessories,95.1,5,0,30.432,6/21/2025 18:52
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,Envelopes,26.88,6,0,12.9024,2/5/2023 13:39
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Phones,257.98,2,0,74.8142,10/13/2024 18:10
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Envelopes,17.48,2,0,8.2156,12/19/2025 19:57
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,492.835,5,0.3,-14.081,11/26/2024 23:45
Second Class,Consumer,United States,North Charleston,South Carolina,29406,South,Office Supplies,Storage,269.49,3,0,5.3898,9/24/2023 18:54
Standard Class,Home Office,United States,San Jose,California,95123,West,Office Supplies,Binders,29.12,5,0.2,9.828,9/9/2024 9:04
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Labels,18.75,5,0,9,9/13/2023 7:08
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,119.7,6,0,31.122,5/5/2025 8:58
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,9.144,3,0.2,3.0861,4/25/2025 19:19
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,57.06,3,0,18.2592,6/22/2024 7:23
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,71.6,8,0,13.604,11/28/2023 0:14
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,107.44,8,0,27.9344,12/20/2024 16:26
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Labels,7.31,1,0,3.4357,5/23/2023 13:20
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Art,59.1,6,0,22.458,4/19/2024 21:30
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,46.53,3,0,12.0978,8/2/2023 0:37
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,Appliances,97.84,2,0,25.4384,10/12/2025 9:41
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Paper,29.97,3,0,13.4865,2/24/2025 17:25
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,98.352,3,0.2,34.4232,1/30/2024 7:49
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,83.92,5,0.2,29.372,6/20/2024 15:54
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,14.624,2,0.2,5.1184,12/13/2023 5:51
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Phones,136.99,1,0,36.9873,9/10/2023 10:26
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Labels,3.15,1,0,1.512,4/10/2024 9:10
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Paper,9.11,1,0,4.0995,3/16/2023 12:39
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Storage,571.44,4,0,165.7176,1/5/2025 7:47
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Paper,32.4,5,0,15.552,2/3/2023 4:59
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Storage,16.91,1,0,4.5657,11/25/2025 16:03
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Furnishings,14.272,8,0.2,4.2816,9/8/2025 2:43
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Bookcases,451.136,4,0.2,-67.6704,4/25/2024 4:48
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Appliances,64.864,4,0.2,6.4864,10/23/2024 9:21
First Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Chairs,217.584,2,0.2,-29.9178,7/4/2025 8:36
First Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Accessories,82.95,5,0,29.0325,8/29/2023 4:11
First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Labels,87.71,7,0,41.2237,3/1/2025 6:13
First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,1101.48,4,0,429.5772,3/31/2023 11:20
Second Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Tables,1322.352,3,0.2,-99.1764,5/12/2025 4:49
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Art,5.46,3,0,1.4742,8/14/2023 12:00
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Supplies,11.184,1,0.2,0.8388,7/23/2024 14:47
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Storage,153.584,2,0.2,-32.6366,7/18/2025 11:01
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Storage,1003.62,6,0,0,4/14/2023 1:24
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Technology,Phones,35.168,4,0.2,11.4296,3/20/2025 6:50
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Furniture,Tables,1137.75,5,0,250.305,3/19/2023 20:10
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Binders,99.68,5,0.2,32.396,8/24/2025 0:21
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,5.56,2,0,1.4456,4/3/2025 22:10
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,85.52,2,0,22.2352,10/24/2023 3:11
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Art,9.84,3,0,2.6568,3/21/2025 6:34
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Paper,20.04,3,0,9.6192,8/2/2025 20:27
Second Class,Consumer,United States,New York City,New York,10024,East,Technology,Phones,631.96,4,0,303.3408,3/7/2025 7:19
Second Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,23.92,4,0,10.764,9/15/2023 8:34
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Paper,90.24,6,0,41.5104,9/24/2023 21:40
Standard Class,Consumer,United States,Jamestown,New York,14701,East,Technology,Phones,4548.81,7,0,1228.1787,1/22/2024 11:19
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Tables,300.93,5,0.3,-34.392,8/21/2025 19:50
Second Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,719.96,5,0.2,53.997,4/8/2023 12:39
Standard Class,Consumer,United States,Mishawaka,Indiana,46544,Central,Furniture,Chairs,647.84,8,0,32.392,12/28/2024 2:08
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Storage,64.17,3,0,18.6093,11/16/2024 5:48
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Envelopes,124.46,2,0,58.4962,2/19/2024 11:36
Standard Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Binders,9.584,1,0.2,3.3544,5/13/2024 19:56
First Class,Consumer,United States,Miami,Florida,33178,South,Office Supplies,Envelopes,37.608,3,0.2,12.6927,12/2/2023 17:41
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Paper,12.224,2,0.2,4.4312,10/21/2024 17:00
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Binders,2.304,4,0.8,-3.5712,6/17/2024 17:32
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Binders,9.36,4,0.8,-16.38,9/21/2025 21:33
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Labels,7.38,2,0,3.4686,2/16/2025 22:38
Second Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,53.72,4,0,15.0416,12/28/2025 18:30
Second Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Supplies,8187.65,5,0,327.506,5/19/2025 2:27
Second Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,77.92,8,0,34.2848,3/27/2025 15:27
Same Day,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,32.784,4,0.8,-85.2384,8/1/2025 18:00
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Technology,Phones,196.776,3,0.2,14.7582,11/13/2025 9:47
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Technology,Accessories,479.94,6,0,52.7934,5/26/2023 16:15
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Storage,1117.92,4,0,55.896,11/19/2024 17:30
First Class,Consumer,United States,Monroe,Louisiana,71203,South,Technology,Accessories,106.5,6,0,41.535,9/4/2023 16:26
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,Binders,45.66,5,0.7,-33.484,7/24/2023 12:39
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Accessories,95.968,4,0.2,1.1996,3/15/2023 5:32
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,47.992,2,0.3,-2.0568,10/9/2024 13:09
Standard Class,Consumer,United States,Bowling Green,Ohio,43402,East,Office Supplies,Storage,264.32,2,0.2,19.824,3/27/2023 14:07
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Envelopes,604.656,9,0.2,204.0714,1/7/2024 2:52
Standard Class,Corporate,United States,Westfield,New Jersey,7090,East,Furniture,Furnishings,129.93,3,0,12.993,5/8/2025 18:44
